Date,income,savings,rent,transportation,entertainment,debt_payments,insurance
7/19/2023,$42501.37,$2393.08,$4169.07,$47831.58,$31883.90,$29364.29,$5897.28
5/29/2023,$9247.78,$13473.90,$46292.94,$12878.50,$34215.80,$6100.43,$37445.85
1/19/2023,$6736.08,$48897.66,$2285.42,$30182.06,$37376.64,$592.20,$48398.15
1/5/2023,$19910.50,$43033.06,$40125.46,$39742.14,$45179.11,$19684.75,$33960.61
10/19/2022,$29070.35,$3990.47,$48621.87,$42228.61,$10723.16,$28998.74,$20371.92
6/23/2023,$27580.77,$7985.23,$41427.66,$39442.90,$21253.39,$4897.24,$22595.58
12/22/2022,$12644.53,$20102.52,$34360.58,$14238.97,$21501.54,$17113.88,$40015.10
5/19/2023,$9348.51,$25816.73,$38502.71,$17155.59,$4461.70,$39725.64,$42435.29
4/30/2023,$406.69,$10085.31,$45697.80,$8869.17,$48244.37,$19507.79,$9006.01
8/10/2023,$25709.59,$19770.18,$9314.46,$19741.44,$39353.41,$41374.07,$34010.02
1/1/2023,$2255.52,$3867.24,$1169.45,$10837.35,$25450.75,$19075.47,$40861.16
3/7/2023,$47634.04,$46933.93,$22382.64,$29309.84,$11303.89,$15082.07,$32091.03
3/4/2023,$40955.10,$46535.32,$2286.08,$22442.80,$43919.26,$29328.66,$29277.45
4/8/2023,$15061.71,$9000.75,$12420.44,$23635.23,$20607.72,$43254.93,$7523.56
4/6/2023,$30865.43,$20437.41,$37002.62,$3386.04,$29893.78,$34057.36,$668.55
12/24/2022,$18329.56,$48534.72,$45060.87,$3525.81,$25382.30,$4993.64,$36580.99
11/27/2022,$8951.04,$12812.93,$39432.87,$30920.65,$46386.43,$21700.49,$5242.77
6/14/2023,$26988.97,$13502.48,$5930.62,$25364.85,$15454.55,$23217.65,$30262.43
3/23/2023,$20911.23,$13470.74,$32577.34,$27187.59,$4823.25,$39687.02,$26417.16
11/3/2022,$46598.16,$24066.84,$37867.43,$22075.03,$5398.43,$1336.58,$38234.21
10/10/2022,$33379.29,$16446.60,$38803.86,$23857.98,$16956.60,$33525.70,$535.17
8/5/2023,$428.03,$27071.96,$1207.10,$33948.81,$17580.56,$37944.46,$16648.55
8/31/2022,$37846.36,$21110.20,$18954.22,$29981.13,$33046.68,$8954.34,$15813.52
10/5/2022,$38831.30,$5839.10,$23090.81,$48536.21,$34257.98,$25470.66,$40431.63
12/3/2022,$11323.61,$40018.34,$33555.66,$24680.22,$2747.75,$18339.26,$4632.67
4/9/2023,$46672.34,$48230.76,$36129.00,$8736.74,$23587.89,$23914.07,$23315.24
1/5/2023,$12193.08,$24718.63,$15123.74,$48104.66,$32951.88,$45527.85,$46482.49
9/12/2022,$35395.60,$29106.89,$43973.69,$23722.70,$41377.96,$11736.26,$30748.34
5/24/2023,$28258.09,$45372.99,$21454.75,$13143.88,$47656.52,$26541.98,$46396.88
1/17/2023,$13838.97,$47241.58,$40775.99,$34260.82,$2412.36,$34144.06,$2531.79
1/24/2023,$43280.72,$28755.36,$44903.74,$32572.12,$21548.90,$36142.55,$2587.59
1/25/2023,$18730.38,$48253.40,$15689.12,$5510.78,$49179.31,$42787.38,$27570.49
9/4/2022,$14929.28,$21474.57,$24038.68,$28761.91,$30863.90,$4989.75,$4968.88
3/18/2023,$26144.21,$17680.92,$29910.07,$49321.89,$18071.20,$1549.69,$20321.51
4/4/2023,$1816.32,$30781.19,$47340.03,$18202.23,$3200.33,$30204.25,$20173.51
9/3/2022,$23992.42,$4915.57,$8562.75,$22881.28,$2773.28,$44431.91,$29885.07
1/3/2023,$27140.54,$39165.42,$45544.62,$48613.08,$7822.61,$15545.74,$49396.68
11/13/2022,$20640.89,$11225.51,$44154.58,$42754.73,$12066.71,$28786.63,$45238.58
12/13/2022,$11636.66,$22584.11,$47112.28,$11450.56,$31058.72,$1139.60,$48994.67
2/9/2023,$10340.10,$38660.43,$43499.10,$46241.94,$18142.21,$46187.49,$871.93
3/27/2023,$46894.26,$43517.29,$22035.25,$21883.48,$33700.54,$10623.47,$3780.49
10/5/2022,$11661.20,$36299.95,$46828.38,$38145.42,$41904.40,$26984.22,$3008.26
6/25/2023,$2634.83,$1898.68,$21607.64,$3866.46,$19950.72,$9837.86,$44844.86
4/9/2023,$34362.71,$35204.00,$48996.39,$31988.09,$33455.52,$44712.09,$32117.12
11/30/2022,$32812.42,$34539.12,$46962.43,$6681.89,$1018.90,$10752.72,$23430.58
12/5/2022,$43576.00,$25653.07,$44458.55,$5777.14,$48341.33,$44959.33,$9905.76
8/2/2023,$29303.65,$29164.15,$41165.89,$11894.53,$15940.67,$27547.90,$12157.99
10/28/2022,$43542.28,$42542.18,$16024.90,$22993.42,$35027.44,$8433.42,$44045.51
11/30/2022,$43457.67,$40307.30,$6071.79,$43171.74,$48047.03,$3897.79,$41136.75
8/24/2022,$9034.31,$13044.12,$10346.38,$19156.95,$43121.79,$19710.81,$16342.58
7/4/2023,$26648.30,$36681.26,$26578.96,$38738.24,$6658.15,$5460.91,$19395.59
2/4/2023,$45410.74,$17433.88,$33552.27,$21749.99,$30039.67,$35936.53,$30671.86
2/20/2023,$45806.94,$4544.07,$18424.49,$10185.87,$42089.78,$9343.97,$3922.50
8/21/2022,$30004.12,$46826.51,$32608.03,$4758.71,$7567.51,$49575.18,$10142.81
2/7/2023,$49277.98,$623.11,$34086.93,$11771.22,$2360.36,$19513.04,$16745.64
5/3/2023,$28138.53,$25424.43,$30582.02,$1299.48,$22118.25,$35423.66,$12608.40
11/10/2022,$24145.34,$46636.59,$11771.05,$40931.12,$7172.37,$31915.19,$25532.86
5/12/2023,$7611.21,$26557.47,$850.24,$25138.61,$45319.05,$5382.75,$47917.59
2/4/2023,$35241.71,$35790.36,$6503.92,$5580.18,$43379.66,$38483.37,$37909.10
4/5/2023,$26499.10,$48428.25,$35164.71,$10210.72,$26623.94,$1359.34,$24817.56
8/20/2022,$47281.69,$44415.73,$37251.90,$34754.11,$34160.86,$41558.21,$37856.57
2/19/2023,$18080.93,$25308.08,$12408.02,$27861.31,$3191.91,$45593.23,$14054.82
11/16/2022,$19988.93,$41128.54,$33121.97,$41132.40,$3831.13,$48090.02,$32052.33
9/10/2022,$4019.12,$34228.01,$7864.16,$19334.44,$49701.35,$22119.75,$46601.19
7/23/2023,$48627.87,$19516.27,$31123.56,$26203.38,$44761.88,$22904.56,$27802.03
11/26/2022,$28296.97,$39727.57,$8255.18,$25151.59,$29183.94,$44340.20,$14134.34
10/25/2022,$44328.18,$44766.09,$20680.80,$42191.26,$27627.71,$41587.13,$24139.87
3/20/2023,$12130.56,$42888.37,$45902.76,$11852.57,$24999.26,$21411.17,$49692.66
3/10/2023,$28165.73,$2950.84,$43372.97,$6552.66,$10862.60,$28251.62,$48357.89
11/17/2022,$23922.22,$49400.14,$47214.07,$48509.86,$30260.67,$16996.74,$14975.62
7/6/2023,$16319.08,$22645.81,$15381.91,$15097.20,$2545.36,$7593.25,$39646.68
8/16/2022,$33514.07,$37776.17,$49631.10,$32997.62,$35434.00,$2299.08,$37427.74
10/18/2022,$13072.10,$4784.10,$29570.86,$32333.44,$31560.75,$48377.34,$16722.25
11/4/2022,$30222.34,$10773.54,$20275.08,$5460.93,$21446.16,$23958.62,$24455.63
5/5/2023,$40540.67,$12788.24,$22825.18,$5137.58,$32297.01,$1593.67,$17502.68
7/9/2023,$5364.16,$4414.85,$11649.97,$49101.40,$29473.98,$39893.60,$37169.64
2/13/2023,$30671.45,$30932.29,$11432.17,$24606.32,$14295.35,$12548.76,$33765.02
7/31/2023,$13906.88,$43564.39,$27433.61,$42509.66,$35355.70,$19582.37,$32832.69
7/26/2023,$41153.80,$37267.52,$30904.73,$32531.93,$11959.70,$26510.76,$4815.15
11/4/2022,$33448.76,$47543.00,$13774.24,$45572.34,$45711.05,$13271.78,$43393.87
3/9/2023,$35094.80,$36621.88,$26761.15,$29791.94,$17678.67,$38376.16,$42763.68
12/12/2022,$12267.75,$33510.80,$3847.53,$22300.49,$18202.48,$18548.07,$16723.57
7/6/2023,$19194.30,$42695.72,$5114.92,$21407.89,$4328.73,$18727.84,$36423.90
10/3/2022,$7431.71,$5007.08,$7636.51,$7588.00,$29223.15,$32909.99,$18848.91
6/14/2023,$30910.66,$32444.35,$38949.75,$23084.76,$20340.15,$41667.96,$39321.67
7/13/2023,$341.24,$37485.58,$8446.29,$33523.20,$20660.85,$30911.70,$44370.11
9/18/2022,$19161.14,$10310.06,$10985.26,$10882.97,$21559.64,$11319.61,$19776.77
1/28/2023,$38485.53,$46406.84,$40260.80,$44365.52,$4609.55,$17937.43,$12936.28
4/12/2023,$42803.28,$18479.16,$6240.04,$29812.15,$25555.12,$33220.47,$14170.27
11/7/2022,$7486.21,$23485.64,$6821.00,$25274.13,$32600.59,$18507.79,$29141.51
