Date,income,savings,rent,transportation,entertainment,debt_payments,insurance
4/6/2023,$13287.10,$26998.48,$7253.16,$20898.84,$29624.56,$38022.96,$24312.55
1/11/2023,$39158.02,$25407.93,$3077.04,$4626.94,$13766.65,$12186.90,$44719.84
8/4/2023,$24615.38,$30957.42,$12739.02,$20396.24,$41006.25,$5731.93,$32388.27
2/22/2023,$13365.72,$39804.80,$41662.02,$18225.23,$8781.76,$33151.57,$21914.48
1/14/2023,$22352.55,$38581.32,$6597.32,$28240.68,$16341.49,$28012.06,$30154.47
11/3/2022,$36224.07,$9125.53,$3385.72,$47881.86,$15610.28,$34569.07,$10039.56
5/15/2023,$21135.83,$8488.90,$33757.61,$8947.98,$25839.35,$46293.88,$12970.77
9/18/2022,$45431.82,$40677.72,$40699.64,$15340.61,$26450.72,$15243.69,$233.84
8/6/2023,$35261.63,$26200.73,$37990.91,$1803.42,$41363.91,$7814.15,$20543.91
3/18/2023,$34310.37,$237.34,$49236.25,$34184.55,$41616.90,$30399.24,$7046.34
9/23/2022,$43289.65,$340.03,$11917.04,$462.44,$7162.96,$34155.70,$44269.27
5/6/2023,$29407.74,$23245.93,$14529.80,$11649.02,$35013.01,$20415.54,$33629.14
10/13/2022,$11240.76,$9520.89,$22577.93,$8940.61,$9937.78,$23310.12,$23013.82
7/4/2023,$25691.78,$6423.67,$45951.20,$34406.46,$35304.30,$31020.77,$32441.20
4/23/2023,$13239.77,$35856.46,$31649.42,$32938.90,$4274.69,$36608.87,$18911.86
8/7/2023,$34299.23,$34054.80,$44762.50,$17417.63,$7991.72,$17862.93,$27892.30
6/9/2023,$28563.76,$48120.83,$29460.43,$11157.69,$27877.95,$18940.39,$23440.13
1/6/2023,$23648.09,$19897.07,$3028.04,$32252.34,$44993.36,$7073.47,$11289.94
9/12/2022,$40040.87,$7672.87,$9035.03,$17977.33,$34382.98,$46645.99,$27946.33
12/3/2022,$36918.07,$23031.92,$24996.14,$30701.53,$42230.35,$46506.51,$12771.64
2/11/2023,$7019.39,$10189.32,$43846.90,$44976.21,$45610.52,$43811.81,$32964.69
8/12/2023,$20533.85,$22500.25,$4311.08,$21633.34,$35473.74,$35930.16,$42319.42
1/22/2023,$39987.10,$33021.53,$25937.31,$41478.64,$38263.04,$29654.22,$3703.70
9/24/2022,$23038.15,$41898.38,$34617.26,$8947.89,$42983.02,$11173.48,$21962.57
6/14/2023,$34532.25,$9009.92,$27833.63,$44390.71,$27164.86,$14742.70,$13824.90
7/1/2023,$10638.39,$69.70,$42137.57,$25304.71,$48727.83,$29434.17,$46454.72
6/18/2023,$35198.11,$25781.99,$18858.78,$10248.21,$44972.96,$35213.46,$28894.82
11/24/2022,$11395.05,$49417.61,$48571.44,$22854.13,$2448.13,$2788.15,$35850.04
4/21/2023,$33184.46,$26092.35,$40001.54,$6201.13,$3390.45,$47286.12,$25342.82
12/19/2022,$21655.18,$42009.76,$12190.46,$46360.41,$21727.75,$26091.57,$19733.39
12/20/2022,$29541.40,$1067.99,$26243.87,$19427.82,$19748.14,$21066.33,$47697.02
7/16/2023,$18084.32,$17679.30,$48322.73,$48504.21,$28861.97,$11483.47,$7277.61
1/7/2023,$26665.82,$12665.91,$18939.86,$38413.63,$10621.13,$33755.64,$48827.06
4/17/2023,$8419.54,$41424.95,$21616.67,$29301.25,$27049.62,$9510.42,$30191.74
11/17/2022,$36842.61,$41955.94,$41025.75,$35400.16,$4434.17,$39114.50,$10740.79
9/30/2022,$14741.16,$15525.30,$24331.67,$28920.21,$32413.72,$17139.75,$39840.53
3/22/2023,$30333.17,$43130.17,$24765.56,$48747.30,$40882.41,$5526.12,$4865.77
1/10/2023,$9587.83,$9931.78,$45973.06,$33631.17,$41306.02,$3930.91,$5357.53
3/7/2023,$5292.31,$35043.55,$11385.60,$26862.65,$7886.64,$41889.07,$41979.03
2/25/2023,$17408.29,$24448.39,$15903.20,$41191.69,$8995.35,$35116.94,$43959.19
11/26/2022,$9006.21,$33297.49,$11621.65,$15613.08,$3414.84,$12560.57,$21121.33
2/3/2023,$36788.90,$47862.57,$35308.04,$27586.72,$17550.95,$36615.71,$25930.27
8/11/2023,$29954.01,$16316.87,$14611.76,$32149.30,$31617.06,$35178.14,$31190.52
9/14/2022,$26511.65,$6763.17,$2419.75,$21658.78,$4953.46,$36327.26,$15051.41
2/13/2023,$32801.54,$44225.85,$40793.28,$14893.37,$8086.66,$12432.96,$45213.24
6/15/2023,$28828.85,$19578.34,$14053.36,$34270.34,$14909.93,$44079.79,$39275.74
4/10/2023,$6609.10,$29294.37,$10597.02,$29249.12,$21880.01,$18286.63,$2365.51
11/26/2022,$46536.23,$16352.54,$49674.81,$22695.67,$41171.62,$21200.03,$7374.78
10/3/2022,$5643.90,$37862.74,$4195.87,$30210.83,$43921.52,$14623.03,$40846.04
6/23/2023,$34207.19,$17742.35,$14432.33,$41731.92,$13336.65,$10726.78,$14212.03
3/20/2023,$10568.40,$44944.79,$19187.58,$15513.57,$38881.44,$27472.38,$31447.07
3/31/2023,$13917.21,$28694.15,$38532.00,$36795.73,$7244.88,$10709.97,$44208.61
2/22/2023,$893.85,$5603.31,$20977.21,$1513.72,$23904.07,$48584.80,$17720.36
5/6/2023,$29695.44,$47008.58,$27524.01,$22785.73,$17956.56,$20971.34,$8808.57
9/8/2022,$16078.63,$13703.63,$17611.00,$2238.67,$26793.70,$7436.68,$5765.33
5/1/2023,$11641.62,$10415.06,$39235.52,$13709.86,$29545.29,$17192.13,$7659.70
4/22/2023,$654.71,$8631.99,$3205.67,$22419.55,$14237.87,$39879.01,$13668.67
6/13/2023,$7981.03,$6499.46,$9943.27,$49960.33,$14479.93,$49149.73,$10959.98
4/6/2023,$5981.79,$27826.74,$42027.97,$21002.42,$25890.80,$25924.23,$27177.44
2/12/2023,$11932.20,$19244.80,$32752.33,$21491.99,$4632.37,$30531.30,$13516.88
6/19/2023,$21767.41,$22821.26,$3761.94,$45549.72,$929.53,$19382.73,$30411.26
12/26/2022,$13039.57,$39621.41,$1724.15,$20886.88,$28090.57,$33885.52,$16216.40
